Mn,Fe,Co,Ni,Cu,Slope
6,6,12,18,18,53.79791
6,6,18,12,18,48.81322
6,6,18,18,12,34.82894
6,12,6,18,18,45.45615
6,12,12,12,18,31.89407
6,12,12,18,12,42.74355
6,12,18,6,18,69.93567
6,12,18,12,12,63.49966
6,12,18,18,6,48.51772
6,18,6,12,18,49.21147
6,18,6,18,12,25.63761
6,18,12,6,18,36.14607
6,18,12,12,12,22.79575
6,18,12,18,6,19.76852
6,18,18,6,12,44.87143
6,18,18,12,6,28.3226
12,6,6,18,18,25.91198
12,6,12,12,18,30.7574
12,6,12,18,12,24.2384
12,6,18,6,18,26.86665
12,6,18,12,12,51.9733
12,6,18,18,6,44.17185
12,12,6,12,18,20.2862
12,12,6,18,12,22.77582
12,12,12,6,18,43.0628
12,12,12,12,12,35.96802
12,12,12,18,6,50.7786
12,12,18,6,12,56.43401
12,12,18,12,6,44.18784
12,18,6,6,18,71.80981
12,18,6,12,12,28.4017
12,18,6,18,6,51.65492
12,18,12,6,12,49.47518
12,18,12,12,6,77.77696
12,18,18,6,6,49.95663
18,6,6,12,18,70.43209
18,6,6,18,12,60.97107
18,6,12,6,18,76.1103
18,6,12,12,12,93.04018
18,6,12,18,6,66.39582
18,6,18,6,12,72.32508
18,6,18,12,6,46.74837
18,12,6,6,18,38.58543
18,12,6,12,12,34.22301
18,12,6,18,6,40.36721
18,12,12,6,12,49.638
18,12,12,12,6,21.11177
18,12,18,6,6,44.36831
18,18,6,6,12,41.10817
18,18,6,12,6,61.6765
18,18,12,6,6,59.27101
15,3,12,15,15,70.93
15,3,15,12,15,81.77
15,3,15,15,12,76.95
15,6,9,15,15,50.51
15,6,12,12,15,89.96
15,6,12,15,12,87.85
15,6,15,9,15,91.04
15,6,15,12,12,87.92
15,6,15,15,9,73.57
15,9,9,12,15,87.06
15,9,9,15,12,83.53
15,9,12,9,15,86.14
15,9,12,12,12,103.51
15,9,12,15,9,95.49
15,9,15,9,12,140.66
15,9,15,12,9,110.74
18,3,9,15,15,95.5
18,3,12,12,15,109.9
18,3,12,15,12,78.3
18,3,15,9,15,80.83
18,3,15,12,12,54.13
18,3,15,15,9,69.35
18,6,9,12,15,69.36
18,6,9,15,12,89.55
18,6,12,9,15,93.49
18,6,12,12,12,88.72
18,6,12,15,9,81.53
18,6,15,9,12,70.68
18,6,15,12,9,88.45
18,9,9,9,15,97.09
18,9,9,12,12,85.43
18,9,9,15,9,82.23
18,9,12,9,12,107.67
18,9,12,12,9,109.28
18,9,15,9,9,105.65
21,3,9,12,15,60.86
21,3,9,15,12,72.07
21,3,12,9,15,83.14
21,3,12,12,12,78.87
21,3,12,15,9,84.82
21,3,15,9,12,74.06
21,3,15,12,9,79.31
21,6,9,9,15,70.83
21,6,9,12,12,64.81
21,6,9,15,9,59.17
21,6,12,9,12,83.27
21,6,12,12,9,59.85
21,6,15,9,9,85.77
21,9,9,9,12,84.82
21,9,9,12,9,69.81
21,9,12,9,9,65.36
9,15,12,9,15,151.00121
9,15,15,6,15,86.04597
9,15,15,9,12,76.36253
9,18,9,9,15,97.25419
9,18,12,6,15,66.23776
9,18,12,9,12,86.38443
9,18,15,6,12,121.14499
9,18,15,9,9,122.84746
9,21,9,6,15,123.74301
9,21,9,9,12,137.42573
9,21,12,6,12,123.81488
9,21,12,9,9,165.97802
9,21,15,6,9,125.91262
12,15,9,9,15,90.81026
12,15,12,6,15,122.96773
12,15,12,9,12,136.23895
12,15,15,6,12,87.90226
12,15,15,9,9,122.32535
12,18,9,6,15,150.55853
12,18,9,9,12,98.64984
12,18,12,6,12,117.59862
12,18,12,9,9,131.89598
12,18,15,6,9,156.12162
12,21,9,6,12,162.99548
12,21,9,9,9,157.72011
12,21,12,6,9,121.34895
15,15,9,6,15,106.90718
15,15,9,9,12,75.39384
15,15,12,6,12,109.45424
15,15,12,9,9,116.15835
15,15,15,6,9,125.96337
15,18,9,6,12,140.05897
15,18,9,9,9,141.49984
15,18,12,6,9,131.70113
15,21,9,6,9,162.82152
